OG	477064	1193500115	0.034797	87.053404
< 	477048	1193977163	0.034796	87.088200
>D	472029	1194449192	0.034430	87.122630
 +	471895	1194921087	0.034420	87.157049
EO	470878	1195391965	0.034346	87.191395
\x09M	470483	1195862448	0.034317	87.225712
FU	469722	1196332170	0.034261	87.259973
AW	467420	1196799590	0.034093	87.294067
 _	464644	1197264234	0.033891	87.327958
X2	463824	1197728058	0.033831	87.361789
E1	463035	1198191093	0.033774	87.395562
- 	455729	1198646822	0.033241	87.428803
15	455150	1199101972	0.033198	87.462001
R,	452130	1199554102	0.032978	87.494980
VR	451788	1200005890	0.032953	87.527933
03	450415	1200456305	0.032853	87.560786
SB	446101	1200902406	0.032538	87.593324
SL	444062	1201346468	0.032390	87.625714
IB	442797	1201789265	0.032297	87.658011
R)	440908	1202230173	0.032160	87.690171
OB	437642	1202667815	0.031921	87.722092
DL	435701	1203103516	0.031780	87.753872
D(	433670	1203537186	0.031632	87.785504
X8	432583	1203969769	0.031552	87.817056
& 	432077	1204401846	0.031516	87.848572
FP	429728	1204831574	0.031344	87.879916
 /	429715	1205261289	0.031343	87.911259
VF	429100	1205690389	0.031298	87.942558
_Q	429079	1206119468	0.031297	87.973855
64	427749	1206547217	0.031200	88.005054
E-	425832	1206973049	0.031060	88.036114
DU	425488	1207398537	0.031035	88.067149
":	418420	1207816957	0.030519	88.097669
LC	416906	1208233863	0.030409	88.128078
C2	414467	1208648330	0.030231	88.158309
 }	414300	1209062630	0.030219	88.188528
NP	410940	1209473570	0.029974	88.218501
FM	410528	1209884098	0.029944	88.248445
. 	408949	1210293047	0.029829	88.278274
XP	405752	1210698799	0.029595	88.307869
XE	404963	1211103762	0.029538	88.337407
>S	404842	1211508604	0.029529	88.366936
AK	404100	1211912704	0.029475	88.396411
SW	403694	1212316398	0.029445	88.425856
EI	403041	1212719439	0.029398	88.455254
BY	399270	1213118709	0.029123	88.484376
SG	398847	1213517556	0.029092	88.513468
04	398756	1213916312	0.029085	88.542553
SN	395253	1214311565	0.028830	88.571383
GH	391206	1214702771	0.028534	88.599917
S.	390431	1215093202	0.028478	88.628395
E.	389434	1215482636	0.028405	88.656800
1 	387332	1215869968	0.028252	88.685052
I 	384405	1216254373	0.028038	88.713090
TM	384046	1216638419	0.028012	88.741103
\x09E	383982	1217022401	0.028007	88.769110
UI	383243	1217405644	0.027954	88.797064
\\N	382005	1217787649	0.027863	88.824927
LY	381554	1218169203	0.027830	88.852757
AV	380926	1218550129	0.027785	88.880542
RB	380695	1218930824	0.027768	88.908310
L2	375088	1219305912	0.027359	88.935668
N(	374588	1219680500	0.027322	88.962991
S(	372766	1220053266	0.027189	88.990180
T-	371945	1220425211	0.027130	89.017310
2,	371760	1220796971	0.027116	89.044426
WL	370189	1221167160	0.027001	89.071427
VC	369440	1221536600	0.026947	89.098374
X3	368128	1221904728	0.026851	89.125225
DB	367495	1222272223	0.026805	89.152030
U3	364455	1222636678	0.026583	89.178613
08	362540	1222999218	0.026444	89.205057
")	361521	1223360739	0.026369	89.231426
BP	361306	1223722045	0.026354	89.257779
RP	361257	1224083302	0.026350	89.284129
};	360171	1224443473	0.026271	89.310400
+ 	359550	1224803023	0.026225	89.336625
; 	359223	1225162246	0.026202	89.362827
>C	357680	1225519926	0.026089	89.388916
HT	353595	1225873521	0.025791	89.414707
{ 	351969	1226225490	0.025672	89.440380
AZ	350936	1226576426	0.025597	89.465977
XC	347584	1226924010	0.025353	89.491329
\x09F	345558	1227269568	0.025205	89.516534
2\x0A	345156	1227614724	0.025176	89.541710
P-	343834	1227958558	0.025079	89.566789
L,	342758	1228301316	0.025001	89.591789
>\x0A	342574	1228643890	0.024987	89.616777
7_	342140	1228986030	0.024956	89.641732
L)	342013	1229328043	0.024946	89.666678
R1	341716	1229669759	0.024925	89.691603
GT	338519	1230008278	0.024691	89.716295
C,	337843	1230346121	0.024642	89.740937
F,	337218	1230683339	0.024597	89.765533
GM	336466	1231019805	0.024542	89.790075
K;	336122	1231355927	0.024517	89.814591
F(	336059	1231691986	0.024512	89.839103
S;	335988	1232027974	0.024507	89.863610
LP	334691	1232362665	0.024412	89.888023
GB	334678	1232697343	0.024411	89.912434
(!	333603	1233030946	0.024333	89.936767
>P	333032	1233363978	0.024291	89.961058
PW	332633	1233696611	0.024262	89.985320
V)	330482	1234027093	0.024105	90.009425
GO	330467	1234357560	0.024104	90.033529
 K	329760	1234687320	0.024053	90.057582
EB	326297	1235013617	0.023800	90.081382
14	325352	1235338969	0.023731	90.105113
VD	324429	1235663398	0.023664	90.128777
8_	323636	1235987034	0.023606	90.152383
K(	322790	1236309824	0.023544	90.175927
YN	322665	1236632489	0.023535	90.199462
\x09G	322150	1236954639	0.023497	90.222959
_3	321696	1237276335	0.023464	90.246424
1\x0A	320965	1237597300	0.023411	90.269835
P,	318838	1237916138	0.023256	90.293091
V 	318327	1238234465	0.023219	90.316309
S-	318325	1238552790	0.023218	90.339528
AF	315673	1238868463	0.023025	90.362553
LR	315125	1239183588	0.022985	90.385538
K)	314726	1239498314	0.022956	90.408494
CD	314073	1239812387	0.022908	90.431402
DW	313685	1240126072	0.022880	90.454282
8 	312604	1240438676	0.022801	90.477083
-E	312355	1240751031	0.022783	90.499866
DT	310900	1241061931	0.022677	90.522543
L;	310883	1241372814	0.022676	90.545219
| 	309408	1241682222	0.022568	90.567787
I2	307945	1241990167	0.022461	90.590249
_K	307090	1242297257	0.022399	90.612648
TD	306284	1242603541	0.022340	90.634988
H>	306008	1242909549	0.022320	90.657308
E0	303921	1243213470	0.022168	90.679476
UA	303541	1243517011	0.022140	90.701616
UG	303465	1243820476	0.022135	90.723751
RK	303446	1244123922	0.022133	90.745884
>R	303026	1244426948	0.022103	90.767986
(0	302447	1244729395	0.022060	90.790047
EU	302345	1245031740	0.022053	90.812100
0F	301780	1245333520	0.022012	90.834111
\x09=	301285	1245634805	0.021976	90.856087
(M	301256	1245936061	0.021973	90.878060
1)	301222	1246237283	0.021971	90.900031
TG	299694	1246536977	0.021860	90.921891
TF	299692	1246836669	0.021859	90.943750
8\x0A	299663	1247136332	0.021857	90.965608
30	299362	1247435694	0.021835	90.987443
21	298365	1247734059	0.021763	91.009206
XD	297082	1248031141	0.021669	91.030875
(A	296996	1248328137	0.021663	91.052537
TW	296259	1248624396	0.021609	91.074146
9_	295396	1248919792	0.021546	91.095693
WO	295227	1249215019	0.021534	91.117226
R0	295159	1249510178	0.021529	91.138755
X5	293523	1249803701	0.021409	91.160164
\\\x0A	290302	1250094003	0.021175	91.181339
ZA	290050	1250384053	0.021156	91.202495
 %	290012	1250674065	0.021153	91.223648
LB	289515	1250963580	0.021117	91.244766
R-	287988	1251251568	0.021006	91.265771
(V	287854	1251539422	0.020996	91.286767
4,	287701	1251827123	0.020985	91.307752
C0	287392	1252114515	0.020962	91.328714
4\x0A	287279	1252401794	0.020954	91.349668
R;	286761	1252688555	0.020916	91.370585
OA	286739	1252975294	0.020915	91.391499
13	285873	1253261167	0.020851	91.412351
G(	285004	1253546171	0.020788	91.433139
L(	284991	1253831162	0.020787	91.453926
C-	284915	1254116077	0.020782	91.474707
GC	283889	1254399966	0.020707	91.495414
FD	282784	1254682750	0.020626	91.516040
\\X	282461	1254965211	0.020603	91.536643
E3	281935	1255247146	0.020564	91.557207
N,	279688	1255526834	0.020400	91.577607
HU	277294	1255804128	0.020226	91.597833
N)	275946	1256080074	0.020127	91.617961
ML	275235	1256355309	0.020076	91.638036
\x09A	274767	1256630076	0.020041	91.658077
C1	271839	1256901915	0.019828	91.677905
\x09T	271479	1257173394	0.019802	91.697707
 Q	270990	1257444384	0.019766	91.717473
.C	270483	1257714867	0.019729	91.737202
R2	269637	1257984504	0.019667	91.756869
(T	269079	1258253583	0.019627	91.776495
EY	267987	1258521570	0.019547	91.796042
 @	267503	1258789073	0.019512	91.815554
18	267111	1259056184	0.019483	91.835037
("	266710	1259322894	0.019454	91.854490
>I	264937	1259587831	0.019324	91.873815
][	264266	1259852097	0.019275	91.893090
MN	263928	1260116025	0.019251	91.912341
F1	263879	1260379904	0.019247	91.931588
KS	263749	1260643653	0.019238	91.950826
*P	263510	1260907163	0.019220	91.970046
*D	262966	1261170129	0.019181	91.989227
2C	262950	1261433079	0.019179	92.008407
